name,release_year,certificate,runtime,genre,director,gross,actors,production_house
Late Marriage,2002,None,102,_Romance,Dover Koshashvili,NA,_Lior Ashkenazi_Ronit Elkabetz,Magnolia Pictures
Waking Life,2001,R,99,_Animation,Richard Linklater,NA,None,Fox Searchlight Pictures
One Day in September,2000,R,94,_Documentary,Kevin Macdonald,NA,_Ankie Spitzer_Michael Douglas,Sony Pictures Classics
Requiem,2006,TV-MA,89,_Drama,Hans-Christian Schmid,NA,None,IFC First Take
Neruda,2016,R,107,_Crime,Pablo Larraín,NA,_Gael García Bernal_Luis Gnecco,"Orchard, The"
Blancanieves,2013,PG-13,104,_Fantasy,Pablo Berger,NA,_Ángela Molina_Daniel Giménez Cacho_Emilio Gavira_Inma Cuesta_Josep Maria Pou_Macarena Garc_Maribel Verdú_Pere Ponce_Ramón Barea_Sof,Cohen Media Group
Once Upon a Time in Anatolia,2012,NotRated,150,_Drama,Nuri Bilge Ceylan,NA,None,Cinema Guild
Stranger by the Lake,2014,NotRated,97,_Thriller,Alain Guiraudie,NA,None,Strand Releasing
Ten Canoes,2007,Unrated,90,_Comedy,_Peter Djigirr_Rolf de Heer,NA,None,Palm Pictures
Gilles' Wife,2005,NotRated,103,_Drama,Frédéric Fonteyne,NA,None,Cinema Guild
The Maid,2009,None,95,_Drama,Sebastián Silva,NA,None,Elephant Eye Films
Cowards Bend the Knee or The Blue Hands,2004,None,60,_Romance,Guy Maddin,NA,None,Zeitgeist Films
Merci pour le Chocolat,2002,None,99,_Crime,Claude Chabrol,NA,None,Empire Pictures
The Filth and the Fury,2000,TV-MA,108,_Documentary,Julien Temple,NA,None,Fine Line Features
A Simple Plan,1998,R,121,_Crime,Sam Raimi,NA,_Bill Paxton_Billy Bob Thornton,Paramount Pictures
Eastern Promises,2007,R,100,_Crime,David Cronenberg,NA,_Armin Mueller-Stahl_Naomi Watts_Viggo Mortensen,Focus Features
Sicario,2015,R,121,_Crime,Denis Villeneuve,NA,_Benicio Del Toro_Emily Blunt_Jeffrey Donovan_Jon Bernthal_Josh Brolin_Victor Garber,Lionsgate
George Washington,2000,Unrated,89,_Drama,David Gordon Green,NA,_Candace Evanofski_Donald Holden,Cowboy Booking International
Stranded: I've Come from a Plane That Crashed on the Mountains,2008,Unrated,130,_Documentary,Gonzalo Arijon,NA,None,Zeitgeist Films
At Berkeley,2013,NotRated,244,_Documentary,Frederick Wiseman,NA,None,Zipporah Films
Blade Runner 2049,2017,R,164,_Thriller,Denis Villeneuve,NA,_Ana de Armas_Barkhad Abdi_Dave Bautista_David Dastmalchian_Edward James Olmos_Elarica Gallacher_Harrison Ford_Jared Leto_Lennie James_Mackenzie Davis_Mark Arnold_Robin Wright_Ryan Gosling_Sylvia Hoeks_Tómas Lemarquis_Vilma Szécsi_Wood Harris,Warner Bros. Pictures
Step,2017,PG,84,_Documentary,Amanda Lipitz,NA,_Blessin Giraldo_Cori Grainger_Paula Dofat_Tayla Solomon,Fox Searchlight Pictures
Experimenter,2015,NotRated,98,_History,Michael Almereyda,NA,None,Magnolia Pictures
