name,release_year,certificate,runtime,genre,director,gross,actors,production_house
We Need to Talk About Kevin,2011,R,110,_Thriller,Lynne Ramsay,NA,None,Oscilloscope Laboratories
Watermark,2014,PG,92,_Documentary,_Edward Burtynsky_Jennifer Baichwal,NA,None,Entertainment One
Leonard Cohen: I'm Your Man,2006,PG-13,105,_Documentary,Lian Lunson,NA,_Leonard Cohen_Rufus Wainwright,Lions Gate Films
Early Man,2018,PG,89,_Family,Nick Park,NA,_Eddie Redmayne_Gina Yashere_Johnny Vegas_Kayvan Novak_Kevin Matadeen_Maisie Williams_Mark Williams_Miriam Margolyes_Nick Park_Richard Ayoade_Rob Brydon_Selina Griffiths_Simon Greenall_Timothy Spall_Tom Hiddleston,Universal Pictures
The East,2013,PG-13,116,_Thriller,Zal Batmanglij,NA,_Aldis Hodge_Alexander Skarsgård_Brit Marling_Danielle Macdonald_Ellen Page_Hillary Baack_Jason Ritter_Julia Ormond_Patricia Clarkson_Shiloh Fernandez_Toby Kebbell,Fox Searchlight Pictures
Monster House,2006,PG,91,_Family,Gil Kenan,NA,_Mitchel Musso_Sam Lerner_Spencer Locke,Sony Pictures Entertainment (SPE)
Beatriz at Dinner,2017,NotRated,82,_Comedy,Miguel Arteta,NA,_Amy Landecker_Chloë Sevigny_Connie Britton_David Warshofsky_Enrique Castillo_Jay Duplass_John Early_John Lithgow_Salma Hayek_Sean O'Bryan_Soledad St. Hilaire,Roadside Attractions
Black Mass,2015,R,122,_Crime,Scott Cooper,NA,_Benedict Cumberbatch_Dakota Johnson_Joel Edgerton_Johnny Depp,Warner Bros.
The Wave,2016,NotRated,105,_Thriller,Roar Uthaug,NA,None,Magnolia Pictures
The Hateful Eight,2015,R,None,_Western,Quentin Tarantino,NA,_Bruce Dern_Channing Tatum_Demián Bichir_Jennifer Jason Leigh_Kurt Russell_Michael Madsen_Samuel L. Jackson_Tim Roth_Walton Goggins,"Weinstein Company, The"
"If You Don't, I Will",2014,NotRated,102,_Comedy,Sophie Fillières,NA,None,Film Movement
Fire in the Blood,2013,NotRated,87,_Documentary,Dylan Mohan Gray,NA,None,International Film Circuit
The Edukators,2005,R,127,_Crime,Hans Weingartner,NA,_Burghart Klaußner_Daniel Brühl_Julia Jentsch_Stipe Erceg,IFC Films
Hearts and Minds (re-release),2004,R,112,_Documentary,Peter Davis,NA,None,Rialto Pictures
Noi the Albino,2004,PG-13,93,_Drama,Dagur Kári,NA,_Elín Hansdóttir_Tómas Lemarquis,Palm Pictures
Goodbye Lenin!,2004,R,121,_Romance,Wolfgang Becker,NA,_Chulpan Khamatova_Daniel Brühl_Florian Lukas_Katrin Saß,Sony Pictures Classics
Valley of Tears,2003,None,82,_Documentary,Hart Perry,NA,None,Seventh Art Releasing
Babí léto,2003,PG-13,95,_Family,Vladimír Michálek,NA,_Stella Zázvorková_Vlastimil Brodský,First Look International
Shaolin Soccer,2003,Unrated,87,_Comedy,Stephen Chow,NA,_Stephen Chow_Wei Zhao,Miramax Films
Family Fundamentals,2002,None,75,_Documentary,Arthur Dong,NA,None,None
Mule Skinner Blues,2002,R,93,_Documentary,Stephen Earnhart,NA,_Beanie Andrew_Don Arrup,Sundance Channel Home Entertainment
Born Romantic,2001,R,96,_Comedy,David Kane,NA,_Craig Ferguson_Ian Hart,United Artists
Back to School,1986,PG-13,96,_Romance,Alan Metter,NA,Rodney Dangerfield,Orion Pictures
The Great Train Robbery,1979,PG,110,_Crime,Michael Crichton,NA,_Donald Sutherland_Sean Connery,United Artists
The Illusionist,2006,PG-13,110,_Romance,Neil Burger,NA,_Edward Norton_Jessica Biel_Paul Giamatti,Yari Film Group Releasing
Office Space,1999,TV-MA,89,_Crime,Mike Judge,NA,_Jennifer Aniston_Ron Livingston,Twentieth Century Fox Film Corporation
Una Noche,2013,NotRated,90,_Drama,Lucy Mulloy,NA,None,IFC Films
Queen and Country,2015,NotRated,115,_Drama,John Boorman,NA,None,BBC Worldwide Americas
Charlotte's Web,2006,G,97,_Family,Gary Winick,NA,_Dakota Fanning_Julia Roberts_Oprah Winfrey,Paramount Pictures
The End of the Line,2009,Unrated,85,_Documentary,Rupert Murray,NA,None,None
Professor Marston & the Wonder Women,2017,R,108,_Drama,Angela Robinson,NA,_Acei Martin_Alexa Havins_Allie Gallerani_Allie Marshall_Bella Heathcote_Chris Conroy_Christopher Paul Richards_Connie Britton_JJ Feild_Luke Evans_Maggie Castle_Monica Giordano_Oliver Platt_Pamela Figueiredo Wilcox_Rebecca Hall_Shawn Contois,Annapurna Pictures
Chuck,2017,R,98,_Sport,Philippe Falardeau,NA,None,IFC Films
Chavela,2017,NotRated,93,_Documentary,_Catherine Gund_Daresha Kyi,NA,_Elena Benarroch_Eugenia León_Jose Alfredo Jimenez Jr._Laura García-Lorca_Liliana Felipe_Mariana Gyalui_Miguel Bosé_Patria Jiménez Flores_Pedro Almodóvar_Tania Libertad,Music Box Films
The Girl in the Book,2015,NotRated,86,_Drama,Marya Cohn,NA,None,Freestyle Releasing
For Your Consideration,2006,PG-13,86,_Comedy,Christopher Guest,NA,_Catherine O'Hara_Christopher Guest_Harry Shearer,Warner Independent Pictures (WIP)
The Childhood of a Leader,2016,NotRated,115,_Horror,Brady Corbet,NA,None,IFC Films
Hustle & Flow,2005,R,116,_Music,Craig Brewer,NA,_Anthony Anderson_Ludacris_Terrence Howard,Paramount Classics
My Friend Dahmer,2017,NotRated,107,_Crime,Marc Meyers,NA,_Adam Kroloff_Alex Wolff_Anne Heche_Brady M.K. Dunn_Cameron McKendry_Dallas Roberts_Dontez James_Harrison Holzer_Lily Kozub_Michael Ryan Boehm_Miles Robbins_Ross Lynch_Tommy Nelson_Vincent Kartheiser_Zachary Davis Brown,Altitude Film Entertainment
"The Adventures of Priscilla, Queen of the Desert",1994,R,104,_Music,Stephan Elliott,NA,_Guy Pearce_Hugo Weaving,Gramercy Pictures (I)
Compliance,2012,R,90,_Crime,Craig Zobel,NA,_Ann Dowd_Bill Camp_Dreama Walker_Pat Healy,Magnolia Pictures
Why Don't You Play in Hell?,2014,NotRated,129,_Comedy,Shion Sono,NA,None,Drafthouse Films
Bon voyage,2004,PG-13,114,_War,Jean-Paul Rappeneau,NA,_Gérard Depardieu_Grégori Derangère_Isabelle Adjani_Virginie Ledoyen,Sony Pictures Classics
Miracle,2004,PG,135,_Family,Gavin O'Connor,NA,_Kurt Russell_Nathan West_Patricia Clarkson,Buena Vista Pictures
Heaven,2002,TV-MA,97,_Crime,Tom Tykwer,NA,_Cate Blanchett_Giovanni Ribisi,Miramax Films
The Bourne Identity,2002,PG-13,119,_Thriller,Doug Liman,NA,_Franka Potente_Matt Damon,Universal Pictures
Bread and Tulips,2001,PG-13,114,_Romance,Silvio Soldini,NA,_Bruno Ganz_Licia Maglietta,First Look International
Winter Sleepers,2000,None,122,_Romance,Tom Tykwer,NA,_Floriane Daniel_Heino Ferch_Josef Bierbichler_Laura Tonke_Marie-Lou Sellem_Ulrich Matthes,WinStar Cinema
Little Voice,1998,R,97,_Music,Mark Herman,NA,_Brenda Blethyn_Jane Horrocks_Michael Caine,Miramax Films
Abundant Acreage Available,2017,NotRated,80,_Drama,Angus MacLachlan,NA,_Amy Ryan_Francis Guinan_Max Gail_Steve Coulter_Terry Kinney,Gravitas Ventures
Meet the Fokkens,2012,NotRated,80,_Documentary,_Gabrielle Provaas_Rob Schröder,NA,None,Kino Lorber
Last Ride,2012,NotRated,90,_Drama,Glendyn Ivin,NA,None,Music Box Films
Popstar: Never Stop Never Stopping,2016,R,87,_Music,_Akiva Schaffer_Jorma Taccone,NA,Andy Samberg,Universal Pictures
Take This Waltz,2012,PG,116,_Comedy,Sarah Polley,NA,_Aaron Abrams_Michelle Williams_Sarah Silverman_Seth Rogen,Magnet Releasing
Bears,2014,G,78,_Documentary,_Alastair Fothergill_Keith Scholey,NA,None,Disneynature
Oh Lucy!,2018,NotRated,95,_Comedy,Atsuko Hirayanagi,NA,_Josh Hartnett_Kaho Minami_Kôji Yakusho_Liz Bolton_Megan Mullally_Miyoko Yamaguchi_Nick Gracer_Reiko Aylesworth_Shinobu Terajima_Shiori Kutsuna,Film Movement
Off the Map,2005,PG-13,105,_Drama,Campbell Scott,NA,_Joan Allen_Sam Elliott_Valentina de Angelis,Manhattan Pictures International
Clueless,1995,PG-13,97,_Romance,Amy Heckerling,NA,_Alicia Silverstone_Brittany Murphy_Paul Rudd_Stacey Dash,Paramount Pictures
Heartbeat Detector,2008,None,143,_Music,Nicolas Klotz,NA,None,New Yorker Films
Land Ho!,2014,R,95,_Comedy,_Aaron Katz_Martha Stephens,NA,None,Sony Pictures Classics
Thank You for Your Service,2017,R,109,_War,Jason Hall,NA,_Amy Schumer_Beulah Koale_Brad Beyer_Cecil M. Henry_Erin Darke_Haley Bennett_Hunter Burke_Jayson Warner Smith_Joe Cole_Kate Lyn Sheil_Keisha Castle-Hughes_Kerry Cahill_Michael Love Toliver_Miles Teller_Omar J. Dorsey_Scott Haze,Universal Pictures
Imperium,2016,R,109,_Crime,Daniel Ragussis,NA,_Daniel Radcliffe_Sam Trammell_Toni Collette_Tracy Letts,Lionsgate Premiere
To Die Like a Man,2011,NotRated,133,_Musical,João Pedro Rodrigues,NA,None,Strand Releasing
Europa Report,2013,PG-13,90,_Horror,Sebastián Cordero,NA,_Anamaria Marinca_Christian Camargo_Dan Fogler_Daniel Wu_Embeth Davidtz_Isiah Whitlock Jr_Karolina Wydra_Michael Nyqvist_Sharlto Copley,Magnet Releasing
Romántico,2006,None,80,_Documentary,Mark Becker,NA,None,Kino International
Nobody Speak: Trials of the Free Press,2017,TV-14,95,_Documentary,Brian Knappenberger,NA,_Donald Trump_Hulk Hogan_Nick Denton,Netflix
The Blackcoat's Daughter,2017,R,93,_Horror,Oz Perkins,NA,None,A24
The Last Mogul,2005,PG-13,110,_Documentary,Barry Avrich,NA,None,thinkfilm
Fort Bliss,2014,NotRated,116,_War,Claudia Myers,NA,None,Phase 4 Films
The Secret Life of Words,2006,None,115,_Drama,Isabel Coixet,NA,None,Good Machine
Soul Food,1997,TV-MA,115,_Comedy,George Tillman Jr,NA,_Vanessa Williams_Vivica A. Fox,Twentieth Century Fox Film Corporation
Other People,2016,NotRated,97,_Drama,Chris Kelly,NA,None,Vertical Entertainment
Vision: From the Life of Hildegard Von Bingen,2010,None,110,_Drama,Margarethe von Trotta,NA,None,Zeitgeist Films
Shanghai Ghetto,2002,None,95,_Documentary,_Amir Mann_Dana Janklowicz-Mann,NA,None,Menemsha Entertainment
Sorcerer,1977,PG,121,_Thriller,William Friedkin,NA,_Bruno Cremer_Roy Scheider,Paramount Pictures
Fletch,1985,PG,98,_Crime,Michael Ritchie,NA,_Chevy Chase_Joe Don Baker,Universal Pictures
Girl Model,2012,NotRated,78,_Documentary,_Ashley Sabin_David Redmon,NA,_Ashley Arbaugh_Rachel Blais,First Run Features
John Wick,2014,R,101,_Thriller,_Chad Stahelski_David Leitch,NA,_Adrianne Palicki_Alfie Allen_Bridget Moynahan_Dean Winters_Ian McShane_Keanu Reeves_Michael Nyqvist_Willem Dafoe,Summit Entertainment
An Inconvenient Sequel: Truth to Power,2017,NotRated,98,_Documentary,_Bonni Cohen_Jon Shenk,NA,_Al Gore_Angela Merkel_Barack Obama_Donald Trump_George W. Bush_Hilary Ashford-Ng_John Kerry_Marco Krapels_Tom Rielly_Vladimir Putin,Paramount Pictures
"The Way, Way Back",2013,PG-13,103,_Comedy,_Jim Rash_Nat Faxon,NA,_Allison Janney_Amanda Peet_Annasophia Robb_Liam James_Maya Rudolph_Rob Corddry_Sam Rockwell_Steve Carell_Toni Collette,Fox Searchlight Pictures
Chef,2014,R,114,_Comedy,Jon Favreau,NA,_Bobby Cannavale_Dustin Hoffman_John Leguizamo_Jon Favreau_Robert Downey Jr._Scarlett Johansson_Sofía Vergara,Open Road Films
Client 9: The Rise and Fall of Eliot Spitzer,2010,R,117,_Documentary,Alex Gibney,NA,Eliot Spitzer,Magnolia Pictures
Detropia,2012,NotRated,90,_Documentary,_Heidi Ewing_Rachel Grady,NA,None,Loki Films
Why We Fight,2006,PG-13,98,_Documentary,Eugene Jarecki,NA,None,Sony Pictures Classics
The Lesson,2015,NotRated,105,_Drama,_Kristina Grozeva_Petar Valchanov,NA,None,Film Movement
Anita,2014,NotRated,95,_Documentary,Freida Lee Mock,NA,None,Samuel Goldwyn Films
Tales from the Golden Age,2011,NotRated,155,_Comedy,_Constantin Popescu_Cristian Mungiu_Hanno Höfer_Ioana Uricaru_Razvan Marculescu,NA,None,IFC Films
Women Without Men,2010,None,95,_Drama,_Shirin Neshat_Shoja Azari,NA,None,Indiepix
Down Terrace,2010,R,89,_Crime,Ben Wheatley,NA,_Julia Deakin_Robert Hill_Robin Hill,Magnet Releasing
Journey to the West,2014,NotRated,110,_Comedy,_Chi-kin Kwok_Stephen Chow,NA,_Bingqiang Chen_Bo Huang_Qi Shu_Shing-Cheung Lee_Show Luo_Sihan Cheng_Yu Xing_Zhang Wen,Magnet Releasing
My King,2016,NotRated,124,_Romance,Maïwenn Le Besco,NA,None,Film Movement
Stations of the Cross,2015,NotRated,110,_Drama,Dietrich Brüggemann,NA,None,Film Movement
The Harvest,2015,NotRated,104,_Horror,John McNaughton,NA,None,IFC Midnight
Rise of the Planet of the Apes,2011,PG-13,110,_Sci-Fi,Rupert Wyatt,NA,_Andy Serkis_Freida Pinto_James Franco,Twentieth Century Fox Film Corporation
With God on Our Side: George W. Bush and the Rise of the Religious Right in America,2005,None,100,_Documentary,_Calvin Skaggs_David Van Taylor,NA,None,Sundance Channel
Son of the Bride,2002,R,123,_Romance,Juan José Campanella,NA,_Héctor Alterio_Ricardo Darín,Columbia TriStar
Theeviravaathi: The Terrorist,2000,Unrated,95,_Drama,Santosh Sivan,NA,None,Phaedra Cinema
Shall We Dance?,1997,PG,136,_Music,Masayuki Suo,NA,_Kôji Yakusho_Naoto Takenaka_Tamiyo Kusakari,Miramax Films
The Black Balloon,2008,PG-13,97,_Drama,Elissa Down,NA,_Luke Ford_Rhys Wakefield_Toni Collette,NeoClassics Films
Timecrimes,2008,R,92,_Thriller,Nacho Vigalondo,NA,_Candela Fernández_Karra Elejalde,Magnolia Pictures
Friends with Money,2006,R,88,_Romance,Nicole Holofcener,NA,_Catherine Keener_Frances McDormand_Jennifer Aniston_Joan Cusack,Sony Pictures Classics
Jesús,2017,NotRated,85,_Drama,Fernando Guzzoni,NA,_Alejandro Goic_Constanza Moreno_Esteban González_Gastón Salgado_Nicolás Durán_Sebastián Ayala,Breaking Glass Pictures
Bethlehem,2014,NotRated,99,_Thriller,Yuval Adler,NA,None,Adopt Films
Mad Detective,2008,None,None,_Crime,_Johnnie To_Ka-Fai Wai,NA,None,IFC Films
Hair,1979,PG,121,_Musical,Milos Forman,NA,_John Savage_Treat Williams,United Artists
My Cousin Vinny,1992,R,120,_Crime,Jonathan Lynn,NA,_Joe Pesci_Marisa Tomei,Twentieth Century Fox Film Corporation
Red Obsession,2013,NotRated,75,_News,_David Roach_Warwick Ross,NA,None,FilmBuff
X2: X-Men United,2003,PG-13,133,_Thriller,Bryan Singer,NA,_Anna Paquin_Brian Cox_Halle Berry_Hugh Jackman_Ian McKellen_Patrick Stewart,Twentieth Century Fox Film Corporation
Iraq for Sale: The War Profiteers,2006,None,75,_Documentary,Robert Greenwald,NA,None,Brave New Films
Carny,1980,R,107,_Drama,Robert Kaylor,NA,_Bill McKinney_Elisha Cook Jr._Gary Busey_Jodie Foster_John Lehne_Kenneth McMillan_Meg Foster_Robbie Robertson_Teddy Wilson_Tim Thomerson,United Artists
Delirious,2007,None,107,_Comedy,Tom DiCillo,NA,None,Peace Arch Releasing
Big River Man,2009,None,100,_Documentary,John Maringouin,NA,None,None
Stripes,1981,R,106,_War,Ivan Reitman,NA,_Bill Murray_John Candy,Columbia Pictures
Paranormal Activity,2009,R,86,_Horror,Oren Peli,NA,_Katie Featherston_Micah Sloat,Paramount Pictures
Theater of War,2008,None,95,_Documentary,John W. Walter,NA,None,Alive Mind Media
Afterglow,1997,R,119,_Romance,Alan Rudolph,NA,_Julie Christie_Nick Nolte,Sony Pictures Classics
Kisses,2010,None,72,_Drama,Lance Daly,NA,None,Oscilloscope Pictures
Swimming to Cambodia,1987,R,85,_Drama,Jonathan Demme,NA,Spalding Gray,Cinecom Pictures
Honeydripper,2007,PG-13,124,_Music,John Sayles,NA,None,Emerging Pictures
The Double,2014,R,93,_Comedy,Richard Ayoade,NA,_Jesse Eisenberg_Mia Wasikowska_Noah Taylor_Wallace Shawn_Yasmin Paige,Magnolia Pictures
"Kumiko, The Treasure Hunter",2015,NotRated,105,_Drama,David Zellner,NA,None,Amplify
Memories of Tomorrow,2007,None,122,_Drama,Yukihiko Tsutsumi,NA,None,Eleven Arts
The Beauty Academy of Kabul,2006,NotRated,74,_Documentary,Liz Mermin,NA,None,Shadow Distribution
Etoiles: Dancers of the Paris Opera Ballet,2002,None,100,_Documentary,Nils Tavernier,NA,None,First Run Features
I Remember Me,2001,None,74,_Documentary,Kim A. Snyder,NA,None,Zeitgeist Films
Erleuchtung garantiert,2001,None,109,_Comedy,Doris Dörrie,NA,_Gustav-Peter Wöhler_Uwe Ochsenknecht,Capitol Entertainment
Eyes Wide Shut,1999,NC-17,159,_Romance,Stanley Kubrick,NA,_Nicole Kidman_Tom Cruise,Warner Bros. Pictures
Night on Earth,1991,R,129,_Comedy,Jim Jarmusch,NA,_Alan Randolph Scott_Anthony Portillo_Armin Mueller-Stahl_Gena Rowlands_Giancarlo Esposito_Isaach De Bankolé_Lisanne Falk_Richard Boes_Rosie Perez_Winona Ryder,Fine Line Features
The Place Beyond the Pines,2013,R,140,_Crime,Derek Cianfrance,NA,_Bradley Cooper_Eva Mendes_Ryan Gosling,Focus Features
Brigsby Bear,2017,PG-13,97,_Comedy,Dave McCary,NA,_Alexa Demie_Christopher Sullivan_Greg Kinnear_Jane Adams_Jorge Lendeborg Jr._Kyle Mooney_Mark Hamill_Matt Walsh_Michaela Watkins_Ryan Simpkins,Sony Pictures Classics
Batman Returns,1992,PG-13,126,_Action,Tim Burton,NA,_Danny DeVito_Michael Keaton_Michelle Pfeiffer,Warner Bros.
Purple Butterfly,2004,R,127,_War,Ye Lou,NA,_Tôru Nakamura_Ye Liu_Ziyi Zhang,Palm Pictures
Page One: A Year Inside the New York Times,2011,R,88,_Documentary,Andrew Rossi,NA,None,Magnolia Pictures
Some Kind of Hero,1982,R,97,_War,Michael Pressman,NA,_Margot Kidder_Richard Pryor,Paramount Pictures
The Cool School,2008,None,86,_Documentary,Morgan Neville,NA,None,Arthouse Films
Paris,2009,R,130,_Romance,Cédric Klapisch,NA,None,IFC Films
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,_Fantasy,George Lucas,NA,_Ewan McGregor_Hayden Christensen_Natalie Portman,Twentieth Century Fox Film Corporation
Fratricide,2006,None,None,_Drama,Yilmaz Arslan,NA,None,Koch Lorber Films
The Assassination of Jesse James by the Coward Robert Ford,2007,R,160,_Western,Andrew Dominik,NA,_Brad Pitt_Casey Affleck_Sam Shepard,Warner Bros. Pictures
Fracture,2007,R,113,_Crime,Gregory Hoblit,NA,_Anthony Hopkins_David Strathairn_Ryan Gosling,New Line Cinema
Departures,2009,PG-13,130,_Music,Yôjirô Takita,NA,_Masahiro Motoki_Ryoko Hirosue_Tsutomu Yamazaki,Regent Releasing
Jeremiah Tower: The Last Magnificent,2017,R,103,_Documentary,Lydia Tenaglia,NA,None,CNN Films
Inequality for All,2013,PG,89,_Documentary,Jacob Kornbluth,NA,Robert Reich,RADiUS-TWC
One Life,2013,NotRated,85,_Documentary,_Martha Holmes_Michael Gunton,NA,None,
Santoalla,2017,NotRated,83,_Documentary,_Andrew Becker_Daniel Mehrer,NA,_Carlos Rodríguez_Jovita Rodríguez_Julio Rodríguez_Manolo Rodríguez_Margo Verfondern_Martin Verfondern,Journeyman Pictures
El Crimen Perfecto (The Perfect Crime),2005,Unrated,105,_Crime,Álex de la Iglesia,NA,_Enrique Villén_Guillermo Toledo_Mónica Cervera,Vitagraph Films
No No: A Dockumentary,2014,NotRated,100,_Documentary,Jeff Radice,NA,None,"Orchard, The"
The Valet,2007,PG-13,85,_Comedy,Francis Veber,NA,_Alice Taglioni_Daniel Auteuil_Gad Elmaleh,Sony Pictures Classics
People Places Things,2015,R,85,_Comedy,James C. Strouse,NA,_Jemaine Clement_Jessica Williams_Regina Hall_Stephanie Allynne,The Film Arcade
12 O'Clock Boys,2014,NotRated,76,_Documentary,Lotfy Nathan,NA,None,Oscilloscope Laboratories
The New Black,2013,NotRated,80,_News,Yoruba Richen,NA,None,
Protagonist,2007,R,90,_Documentary,Jessica Yu,NA,None,IFC Films
Awesome; I Fuckin' Shot That!,2006,R,90,_Documentary,Adam Yauch,NA,_Adam Horovitz_Adam Yauch_Mike D,None
The Inheritance,2004,Unrated,115,_Drama,Per Fly,NA,None,Cinema Guild
The Italian Job,2003,PG-13,111,_Crime,F. Gary Gray,NA,_Charlize Theron_Donald Sutherland_Edward Norton_Jason Statham_Mark Wahlberg_Mos Def_Seth Green,Paramount Pictures
Reykjavík,2001,NotRated,88,_Romance,Baltasar Kormákur,NA,_Hilmir Snær Guðnason_Victoria Abril,Menemsha Entertainment
Come Undone,2001,Unrated,100,_Romance,Sébastien Lifshitz,NA,_Jérémie Elkaïm_Stéphane Rideau,Picture This! Entertainment
Santitos,2000,R,105,_Comedy,Alejandro Springall,NA,None,New Yorker Films
A Civil Action,1998,PG-13,115,_Drama,Steven Zaillian,NA,_John Travolta_Kathleen Quinlan_Robert Duvall,Buena Vista Pictures
Never Say Never Again,1983,PG,134,_Thriller,Irvin Kershner,NA,_Kim Basinger_Sean Connery,Warner Bros.
Voyage of Time: Life's Journey,,PG-13,90,_Documentary,Terrence Malick,NA,None,Broad Green Pictures
Neighbors,2014,R,97,_Comedy,Nicholas Stoller,NA,_Lisa Kudrow_Rose Byrne_Seth Rogen_Zac Efron,Universal Pictures
War Dance,2007,PG-13,None,_Documentary,_Andrea Nix_Sean Fine,NA,None,thinkfilm
Jude,1996,R,123,_Romance,Michael Winterbottom,NA,_Christopher Eccleston_Kate Winslet,Gramercy Pictures (I)
Top Secret!,1984,PG,90,_Comedy,_David Zucker_Jerry Zucker_Jim Abrahams,NA,Val Kilmer,Paramount Pictures
Noah,2014,PG-13,138,_Fantasy,Darren Aronofsky,NA,_Anthony Hopkins_Emma Watson_Jennifer Connelly_Logan Lerman_Nick Nolte_Russell Crowe,Paramount Pictures
Small Town Crime,2018,R,91,_Crime,_Eshom Nelms_Ian Nelms,NA,_Anthony Anderson_Clifton Collins Jr._Daniel Sunjata_Don Harvey_James Lafferty_Jeremy Ratchford_John Hawkes_Michael Vartan_Octavia Spencer_Robert Forster,Saban Films
A River Runs Through It,1992,PG,123,_Drama,Robert Redford,NA,_Brad Pitt_Craig Sheffer,Columbia Pictures
The Nightmare,2015,NotRated,91,_Documentary,Rodney Ascher,NA,None,Gravitas Ventures
In the Basement,2015,NotRated,81,_Documentary,Ulrich Seidl,NA,None,Strand Releasing
Whip It,2009,PG-13,111,_Comedy,Drew Barrymore,NA,_Drew Barrymore_Ellen Page_Kristen Wiig,Fox Searchlight Pictures
Z for Zachariah,2015,PG-13,98,_Thriller,Craig Zobel,NA,_Chiwetel Ejiofor_Chris Pine_Margot Robbie,Roadside Attractions
Marvin's Room,1996,PG-13,98,_Comedy,Jerry Zaks,NA,_Diane Keaton_Leonardo DiCaprio_Meryl Streep_Robert De Niro,Miramax Films
Praying with Lior,2008,Unrated,87,_Documentary,Ilana Trachtman,NA,None,First Run Features
The Housemaid,2011,Unrated,106,_Thriller,Sang-soo Im,NA,None,IFC Films
The President's Last Bang,2005,None,102,_Crime,Sang-soo Im,NA,None,Kino International
Vazante,2018,NotRated,116,_Drama,Daniela Thomas,NA,_Adriano Carvalho_Fabrício Boliveira_Isadora Favero_Jai Baptista_Juliana Carneiro da Cunha_Luana Nastas_Roberto Audio_Sandra Corveloni_Toumany Kouyaté_Vinicius Dos Anjos,Music Box Films
The Ballad of Genesis and Lady Jaye,2012,NotRated,65,_Documentary,Marie Losier,NA,_Genesis P-Orridge_Lady Jaye Breyer P'Orridge,Adopt Films
Primer,2004,PG-13,77,_Thriller,Shane Carruth,NA,_Anand Upadhyaya_Casey Gooden_David Sullivan_Shane Carruth,thinkfilm
The Girl on the Train,2010,Unrated,105,_Drama,André Téchiné,NA,_Catherine Deneuve_Émilie Dequenne_Michel Blanc,Strand Releasing
Four Lions,2010,R,97,_Comedy,Christopher Morris,NA,_Adeel Akhtar_Riz Ahmed,Drafthouse Films
Sophie's Choice,1982,R,150,_Romance,Alan J. Pakula,NA,_Kevin Kline_Meryl Streep_Peter MacNicol,CBS/Fox
Into Eternity,2011,Unrated,75,_Documentary,None,NA,None,International Film Circuit
The Pleasures of Being Out of Step,2014,NotRated,87,_Documentary,David L. Lewis,NA,None,First Run Features
The Good Thief,2003,R,108,_Crime,Neil Jordan,NA,Nick Nolte,Fox Searchlight Pictures
Guinevere,1999,R,104,_Romance,Audrey Wells,NA,None,Miramax Films
Jurassic Park,1993,TV-PG,127,_Thriller,Steven Spielberg,NA,_Jeff Goldblum_Laura Dern_Richard Attenborough_Sam Neill,Universal Pictures
The President,2016,NotRated,119,_Drama,Mohsen Makhmalbaf,NA,None,Corinth Films
The Divine Order,2017,NotRated,96,_Comedy,Petra Biondina Volpe,NA,_Bettina Stucky_Finn Sutter_Marie Leuenberger_Marta Zoffoli_Maximilian Simonischek_Noe Krejcí_Peter Freiburghaus_Rachel Braunschweig_Sibylle Brunner_Therese Affolter,Kino Lorber
Bluebird,2015,NotRated,90,_Drama,Lance Edmands,NA,None,Factory 25
S#x Acts,2013,NotRated,100,_Drama,Johnathan Gurfinkel,NA,None,Tribeca Film
Gladiator,2000,R,155,_History,Ridley Scott,NA,_Connie Nielsen_Joaquin Phoenix_Russell Crowe,DreamWorks Distribution
Moon,2009,R,97,_Thriller,Duncan Jones,NA,Sam Rockwell,Sony Pictures Classics
Last Days in the Desert,2016,PG-13,98,_History,Rodrigo García,NA,_Ayelet Zurer_Ciarán Hinds_Ewan McGregor_Tye Sheridan,
Band Aid,2017,NotRated,91,_Comedy,Zoe Lister Jones,NA,_Adam Pally_Angelique Cabral_Brooklyn Decker_Fred Armisen_Hannah Simone_Majandra Delfino_Ravi Patel_Retta_Susie Essman_Zoe Lister Jones,IFC Films
Forgetting Sarah Marshall,2008,R,111,_Romance,Nicholas Stoller,NA,_Jason Segel_Kristen Bell_Paul Rudd,Universal Pictures
Home,2009,None,98,_Drama,Ursula Meier,NA,None,Lorber Films
American Promise,2013,NotRated,135,_Documentary,_Joe Brewster_Michele Stephenson,NA,None,P.O.V.
The Galapagos Affair: Satan Came to Eden,2014,NotRated,120,_Documentary,_Daniel Geller_Dayna Goldfine,NA,None,Zeitgeist Films
Harmony and Me,2009,None,75,_Comedy,Bob Byington,NA,None,None
Snow Angels,2008,R,107,_Romance,David Gordon Green,NA,_Kate Beckinsale_Michael Angarano_Sam Rockwell,Warner Independent Pictures (WIP)
Dig Two Graves,2017,NotRated,85,_Horror,Hunter Adams,NA,None,Area 23a
Naked Lunch,1991,R,115,_Crime,David Cronenberg,NA,_Judy Davis_Peter Weller,Twentieth Century Fox Film Corporation
Hush,2016,R,81,_Horror,Mike Flanagan,NA,None,Netflix
Almost Peaceful,2004,Unrated,94,_Comedy,Michel Deville,NA,None,Empire Pictures
Ghosts of the Abyss,2003,G,59,_Short,James Cameron,NA,_Bill Paxton_Lori Johnston,Buena Vista Home Video
Ha-Chaverim Shel Yana,2001,None,90,_Romance,Arik Kaplun,NA,Nir Levy,Friends of Film
