_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime
11492,a1915,b489,sling blade,1996,Billy Bob Thornton,Billy Bob Thornton Dwight Yoakam J.T. Walsh John Ritter,135,sling blade,1996,Billy Bob Thornton,Billy Bob Thornton Dwight Yoakam,135
11613,a230,b494,children of men,2006,Alfonso Cuarón,Julianne Moore Clive Owen Chiwetel Ejiofor Michael Caine,109,children of men,2006,Alfonso Cuarón,Chiwetel Ejiofor Clive Owen Julianne Moore Michael Caine,109
11697,a455,b498,moonrise kingdom,2012,Wes Anderson,Jared Gilman Kara Hayward Bruce Willis Bill Murray,94,moonrise kingdom,2012,Wes Anderson,Bill Murray Bruce Willis Edward Norton Frances McDormand Harvey Keitel Jared Gilman Jason Schwartzman Kara Hayward Tilda Swinton,94
11710,a110,b498,the grand budapest hotel,2014,Wes Anderson,Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody,99,moonrise kingdom,2012,Wes Anderson,Bill Murray Bruce Willis Edward Norton Frances McDormand Harvey Keitel Jared Gilman Jason Schwartzman Kara Hayward Tilda Swinton,94
11979,a1014,b512,milk,2008,Gus Van Sant,Sean Penn Josh Brolin Emile Hirsch Diego Luna,128,milk,2008,Gus Van Sant,Emile Hirsch Josh Brolin Sean Penn,128
12031,a1747,b517,lagaan  once upon a time in india,2001,Ashutosh Gowariker,Aamir Khan Raghuvir Yadav Gracy Singh Rachel Shelley,224,lagaan  once upon a time in india,2002,Ashutosh Gowariker,,224
12081,a2646,b519,the remains of the day,1993,James Ivory,Anthony Hopkins Emma Thompson John Haycraft Christopher Reeve,134,the remains of the day,1993,James Ivory,Anthony Hopkins Emma Thompson,134
12122,a269,b525,mystic river,2003,Clint Eastwood,Sean Penn Tim Robbins Kevin Bacon Emmy Rossum,138,mystic river,2003,Clint Eastwood,Emmy Rossum Kevin Bacon Laura Linney Laurence Fishburne Sean Penn Tim Robbins,138
12146,a173,b527,looper,2012,Rian Johnson,Joseph Gordon-Levitt Bruce Willis Emily Blunt Paul Dano,113,looper,2012,Rian Johnson,Bruce Willis Emily Blunt Garret Dillahunt Jeff Daniels Joseph Gordon-Levitt Noah Segan Paul Dano Piper Perabo,119
12159,a1655,b529,kubo and the two strings,2016,Travis Knight,Charlize Theron Art Parkinson Matthew McConaughey Ralph Fiennes,101,kubo and the two strings,2016,Travis Knight,Art Parkinson Brenda Vaccaro Cary-Hiroyuki Tagawa Charlize Theron George Takei Matthew McConaughey Ralph Fiennes Rooney Mara,101
12174,a142,b535,shrek,2001,Andrew Adamson Vicky Jenson,Mike Myers Eddie Murphy Cameron Diaz John Lithgow,90,shrek,2001,Andrew Adamson Vicky Jenson,Eddie Murphy Mike Myers,90
12197,a1154,b536,in the name of the father,1993,Jim Sheridan,Daniel Day-Lewis Pete Postlethwaite Alison Crosbie Philip King,133,in the name of the father,1993,Jim Sheridan,Daniel Day-Lewis,133
12475,a1056,b543,the insider,1999,Michael Mann,Russell Crowe Al Pacino Christopher Plummer Diane Venora,157,the insider,1999,Michael Mann,Al Pacino Russell Crowe,157
12525,a616,b545,the descendants,2011,Alexander Payne,George Clooney Shailene Woodley Amara Miller Nick Krause,115,the descendants,2011,Alexander Payne,,115
12537,a1723,b546,before the devil knows you re dead,2007,Sidney Lumet,Philip Seymour Hoffman Ethan Hawke Albert Finney Marisa Tomei,117,before the devil knows you re dead,2007,Sidney Lumet,Albert Finney Ethan Hawke Philip Seymour Hoffman,117
12540,a620,b547,snowpiercer,2013,Joon-ho Bong,Chris Evans Jamie Bell Tilda Swinton Ed Harris,126,snowpiercer,2014,Joon-ho Bong,Chris Evans Ed Harris Jamie Bell Tilda Swinton,126
12595,a424,b551,get out,2017,Jordan Peele,Daniel Kaluuya Allison Williams Bradley Whitford Catherine Keener,104,get out,2017,Jordan Peele,Allison Williams Bradley Whitford Catherine Keener Daniel Kaluuya,104
12630,a1734,b556,sense and sensibility,1995,Ang Lee,Emma Thompson Kate Winslet James Fleet Tom Wilkinson,136,sense and sensibility,1995,Ang Lee,Emma Thompson Kate Winslet,136
12650,a259,b558,dallas buyers club,2013,Jean-Marc Vallée,Matthew McConaughey Jennifer Garner Jared Leto Steve Zahn,117,dallas buyers club,2013,Jean-Marc Vallée,Griffin Dunne Jared Leto Jennifer Garner Matthew McConaughey Steve Zahn,117
12862,a1984,b569,crazy heart,2009,Scott Cooper,Jeff Bridges Maggie Gyllenhaal Colin Farrell James Keane,112,crazy heart,2009,Scott Cooper,Jeff Bridges Maggie Gyllenhaal,112
12898,a2970,b571,everybody wants some  ,2016,Richard Linklater,Blake Jenner Tyler Hoechlin Ryan Guzman Zoey Deutch,117,everybody wants some  ,2016,Richard Linklater,Blake Jenner Ryan Guzman Tyler Hoechlin Zoey Deutch,117
13001,a947,b575,adaptation ,2002,Spike Jonze,Nicolas Cage Meryl Streep Chris Cooper Tilda Swinton,114,adaptation ,2002,Spike Jonze,Chris Cooper Meryl Streep Nicolas Cage,114
13023,a26,b577,avatar,2009,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver Michelle Rodriguez,162,avatar,2009,James Cameron,Michelle Rodriguez Sam Worthington Sigourney Weaver,162
13189,a2697,b582,shallow grave,1994,Danny Boyle,Kerry Fox Christopher Eccleston Ewan McGregor Ken Stott,89,trainspotting,1996,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd Robert Carlyle,94
13194,a124,b582,trainspotting,1996,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd,94,trainspotting,1996,Danny Boyle,Ewan McGregor Ewen Bremner Jonny Lee Miller Kevin McKidd Robert Carlyle,94
13268,a920,b584,fantastic mr  fox,2009,Wes Anderson,George Clooney Meryl Streep Bill Murray Jason Schwartzman,87,fantastic mr  fox,2009,Wes Anderson,Bill Murray George Clooney Meryl Streep,87
13307,a2760,b585,in the loop,2009,Armando Iannucci,Tom Hollander Peter Capaldi James Gandolfini Harry Hadden-Paton,106,in the loop,2009,Armando Iannucci,James Gandolfini Peter Capaldi Tom Hollander,106
13345,a57,b592,the lion king,1994,Roger Allers Rob Minkoff,Matthew Broderick Jeremy Irons James Earl Jones Whoopi Goldberg,88,the lion king,1994,Rob Minkoff Roger Allers,James Earl Jones Jeremy Irons Matthew Broderick Whoopi Goldberg,89
13423,a72,b593,the terminator,1984,James Cameron,Arnold Schwarzenegger Linda Hamilton Michael Biehn Paul Winfield,107,the terminator,1984,James Cameron,Arnold Schwarzenegger Linda Hamilton Michael Biehn,107
13539,a944,b597,who framed roger rabbit,1988,Robert Zemeckis,Bob Hoskins Christopher Lloyd Joanna Cassidy Charles Fleischer,104,who framed roger rabbit,1988,Robert Zemeckis,Bob Hoskins,104
13589,a2988,b598, 71,2014,Yann Demange,Jack O'Connell Sam Reid Sean Harris Paul Popplewell,99, 71,2015,Yann Demange,Charlie Murphy Jack O'Connell Paul Anderson Paul Popplewell Sam Hazeldine Sam Reid Sean Harris,99
13627,a1223,b601,the vvitch  a new england folktale,2015,Robert Eggers,Anya Taylor-Joy Ralph Ineson Kate Dickie Julian Richings,92,the witch,2016,Robert Eggers,Anya Taylor-Joy Harvey Scrimshaw Julian Richings Kate Dickie Ralph Ineson,92
13726,a638,b602,corpse bride,2005,Tim Burton Mike Johnson,Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman,77,corpse bride,2005,Mike Johnson Tim Burton,Emily Watson Helena Bonham Carter Johnny Depp,77
13847,a180,b607,spider man 2,2004,Sam Raimi,Tobey Maguire Kirsten Dunst Alfred Molina James Franco,127,spider man 2,2004,Sam Raimi,Alfred Molina Kirsten Dunst Tobey Maguire,127
13860,a97,b607,spider man,2002,Sam Raimi,Tobey Maguire Kirsten Dunst Willem Dafoe James Franco,121,spider man 2,2004,Sam Raimi,Alfred Molina Kirsten Dunst Tobey Maguire,127
13998,a2716,b616,animal kingdom,2010,David Michôd,James Frecheville Guy Pearce Joel Edgerton Bryce Lindemann,113,animal kingdom,2010,David Michôd,Guy Pearce James Frecheville Joel Edgerton,113
14055,a442,b616,pineapple express,2008,David Gordon Green,Seth Rogen James Franco Gary Cole Danny McBride,111,animal kingdom,2010,David Michôd,Guy Pearce James Frecheville Joel Edgerton,113
14079,a2648,b617,bullitt,1968,Peter Yates,Steve McQueen Jacqueline Bisset Robert Vaughn Don Gordon,114,bullitt,1968,Peter Yates,Carl Reindel Don Gordon Georg Stanford Brown Jacqueline Bisset Justin Tarr Norman Fell Robert Duvall Robert Vaughn Simon Oakland Steve McQueen,114
14187,a278,b619,captain phillips,2013,Paul Greengrass,Tom Hanks Barkhad Abdi Barkhad Abdirahman Catherine Keener,134,captain phillips,2013,Paul Greengrass,Barkhad Abdi Barkhad Addirahman Catherine Keener Tom Hanks,134
14245,a185,b620,21 jump street,2012,Phil Lord Christopher Miller,Jonah Hill Channing Tatum Ice Cube Brie Larson,109,the lego movie,2014,Christopher Miller Phil Lord,Alison Brie Amanda Farinos Anthony Daniels Charlie Day Chris Pratt Craig Berry David Burrows Elizabeth Banks Liam Neeson Morgan Freeman Nick Offerman Will Arnett Will Ferrell,100
14250,a429,b620,the lego movie,2014,Phil Lord Christopher Miller,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett,100,the lego movie,2014,Christopher Miller Phil Lord,Alison Brie Amanda Farinos Anthony Daniels Charlie Day Chris Pratt Craig Berry David Burrows Elizabeth Banks Liam Neeson Morgan Freeman Nick Offerman Will Arnett Will Ferrell,100
14298,a860,b627,drag me to hell,2009,Sam Raimi,Alison Lohman Justin Long Ruth Livier Lorna Raver,99,drag me to hell,2009,Sam Raimi,Alison Lohman Justin Long Ruth Livier,99
14482,a78,b631,alien,1979,Ridley Scott,Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright,116,alien,1979,Ridley Scott,John Hurt Sigourney Weaver Tom Skerritt,117
14512,a590,b632,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,manhattan,1979,Woody Allen,Diane Keaton Mariel Hemingway Woody Allen,96
14519,a1303,b632,manhattan,1979,Woody Allen,Woody Allen Diane Keaton Mariel Hemingway Michael Murphy,96,manhattan,1979,Woody Allen,Diane Keaton Mariel Hemingway Woody Allen,96
14666,a419,b636,up in the air,2009,Jason Reitman,George Clooney Vera Farmiga Anna Kendrick Jason Bateman,109,up in the air,2009,Jason Reitman,Anna Kendrick George Clooney Vera Farmiga,0
14765,a114,b641,kill bill  vol  2,2004,Quentin Tarantino,Uma Thurman David Carradine Michael Madsen Daryl Hannah,137,kill bill  vol  2,2004,Quentin Tarantino,Daryl Hannah David Carradine Michael Madsen Uma Thurman,136
14860,a1456,b643,babe,1995,Chris Noonan,James Cromwell Magda Szubanski Christine Cavanaugh Miriam Margolyes,91,babe,1995,Chris Noonan,Christine Cavanaugh James Cromwell Magda Szubanski,89
14999,a2574,b647,the post,2017,Steven Spielberg,Meryl Streep Tom Hanks Sarah Paulson Bob Odenkirk,116,the post,2017,Steven Spielberg,Alison Brie Bob Odenkirk Bradley Whitford Bruce Greenwood Carrie Coon David Cross Jesse Plemons Matthew Rhys Meryl Streep Michael Stuhlbarg Sarah Paulson Tom Hanks Tracy Letts Zach Woods,116
15127,a452,b649,mulholland dr ,2001,David Lynch,Naomi Watts Laura Harring Justin Theroux Jeanne Bates,147,mulholland dr ,2001,David Lynch,Justin Theroux Laura Harring Naomi Watts,147
15317,a2624,b660,sabotage,2014,David Ayer,Arnold Schwarzenegger Sam Worthington Terrence Howard Olivia Williams,109,it follows,2015,David Robert Mitchell,Bailey Spry Daniel Zovatto Jake Weary Keir Gilchrist Lili Sepe Linda Boston Maika Monroe Olivia Luccardi Ruby Harris,100
15449,a936,b660,it follows,2014,David Robert Mitchell,Maika Monroe Keir Gilchrist Olivia Luccardi Lili Sepe,100,it follows,2015,David Robert Mitchell,Bailey Spry Daniel Zovatto Jake Weary Keir Gilchrist Lili Sepe Linda Boston Maika Monroe Olivia Luccardi Ruby Harris,100
15457,a2495,b660,mortdecai,2015,David Koepp,Johnny Depp Gwyneth Paltrow Ewan McGregor Olivia Munn,107,it follows,2015,David Robert Mitchell,Bailey Spry Daniel Zovatto Jake Weary Keir Gilchrist Lili Sepe Linda Boston Maika Monroe Olivia Luccardi Ruby Harris,100
15509,a3034,b661,ice age  collision course,2016,Mike Thurmeier Galen T. Chu,Ray Romano Denis Leary John Leguizamo Chris Wedge,94,don t think twice,2016,Mike Birbiglia,Chris Gethard Gillian Jacobs Kate Micucci Keegan-Michael Key Mike Birbiglia Tami Sagher,92
15524,a282,b663,charlie and the chocolate factory,2005,Tim Burton,Johnny Depp Freddie Highmore David Kelly Helena Bonham Carter,115,sweeney todd  the demon barber of fleet street,2007,Tim Burton,Alan Rickman Helena Bonham Carter Johnny Depp,116
15546,a375,b663,sweeney todd  the demon barber of fleet street,2007,Tim Burton,Johnny Depp Helena Bonham Carter Alan Rickman Timothy Spall,116,sweeney todd  the demon barber of fleet street,2007,Tim Burton,Alan Rickman Helena Bonham Carter Johnny Depp,116
15560,a1885,b667,election,1999,Alexander Payne,Matthew Broderick Reese Witherspoon Chris Klein Jessica Campbell,103,election,1999,Alexander Payne,Matthew Broderick Reese Witherspoon,103
15562,a738,b668,creed,2015,Ryan Coogler,Michael B. Jordan Sylvester Stallone Tessa Thompson Phylicia Rashad,133,creed,2015,Ryan Coogler,Michael B. Jordan Phylicia Rashad Sylvester Stallone Tessa Thompson,133
15660,a379,b678,127 hours,2010,Danny Boyle,James Franco Amber Tamblyn Kate Mara Sean Bott,94,127 hours,2010,Danny Boyle,Amber Tamblyn James Franco Kate Mara,94
15714,a292,b682,the conjuring,2013,James Wan,Patrick Wilson Vera Farmiga Ron Livingston Lili Taylor,112,the end of the tour,2015,James Ponsoldt,Anna Chlumsky Jason Segel Jesse Eisenberg Joan Cusack Mamie Gummer Mickey Sumner Ron Livingston,106
15743,a6,b684,forrest gump,1994,Robert Zemeckis,Tom Hanks Robin Wright Gary Sinise Sally Field,142,forrest gump,1994,Robert Zemeckis,Gary Sinise Robin Wright Sally Field Tom Hanks,142
15832,a1482,b688,leaving las vegas,1995,Mike Figgis,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis,111,leaving las vegas,1995,Mike Figgis,Elisabeth Shue Nicolas Cage,111
15847,a908,b689,war for the planet of the apes,2017,Matt Reeves,Andy Serkis Woody Harrelson Steve Zahn Karin Konoval,140,war for the planet of the apes,2017,Matt Reeves,Amiah Miller Andy Serkis Gabriel Chavarria Karin Konoval Michael Adamthwaite Steve Zahn Terry Notary Toby Kebbell Ty Olsson Woody Harrelson,140
15852,a1252,b691,the constant gardener,2005,Fernando Meirelles,Ralph Fiennes Rachel Weisz Danny Huston Hubert Koundé,129,the constant gardener,2005,Fernando Meirelles,Danny Huston Rachel Weisz Ralph Fiennes,129
15854,a2184,b692,short term 12,2013,Destin Daniel Cretton,Brie Larson Frantz Turner John Gallagher Jr. Kaitlyn Dever,96,short term 12,2013,Destin Cretton,Alex Calloway Brie Larson Frantz Turner John Gallagher Jr. Kaitlyn Dever Kevin Hernandez Lakeith Stanfield Lydia Du Veaux Rami Malek Stephanie Beatriz,96
15893,a27,b694,star wars  episode v   the empire strikes back,1980,Irvin Kershner,Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams,124,star wars  episode v   the empire strikes back,1980,Irvin Kershner,Carrie Fisher Harrison Ford Mark Hamill,124
16011,a372,b698,face off,1997,John Woo,John Travolta Nicolas Cage Joan Allen Alessandro Nivola,138,face off,1997,John Woo,John Travolta Nicolas Cage,138
16050,a1022,b699,the lobster,2015,Yorgos Lanthimos,Colin Farrell Rachel Weisz Jessica Barden Olivia Colman,119,the lobster,2016,Giorgos Lanthimos,Colin Farrell Jessica Barden Olivia Colman Rachel Weisz,119
16081,a622,b700,pride   prejudice,2005,Joe Wright,Keira Knightley Matthew Macfadyen Brenda Blethyn Donald Sutherland,129,pride   prejudice,2005,Joe Wright,Brenda Blethyn Donald Sutherland Keira Knightley Matthew MacFadyen,127
16083,a625,b700,atonement,2007,Joe Wright,Keira Knightley James McAvoy Brenda Blethyn Saoirse Ronan,123,pride   prejudice,2005,Joe Wright,Brenda Blethyn Donald Sutherland Keira Knightley Matthew MacFadyen,127
16090,a2189,b701,the squid and the whale,2005,Noah Baumbach,Owen Kline Jeff Daniels Laura Linney Jesse Eisenberg,81,the squid and the whale,2005,Noah Baumbach,,81
16103,a505,b704,the nightmare before christmas,1993,Henry Selick,Danny Elfman Chris Sarandon Catherine O'Hara William Hickey,76,the nightmare before christmas,1993,Henry Selick,Catherine O'Hara Chris Sarandon Danny Elfman William Hickey,76
16110,a2562,b705,waking life,2001,Richard Linklater,Ethan Hawke Trevor Jack Brooks Lorelei Linklater Wiley Wiggins,99,the school of rock,2003,Richard Linklater,Jack Black Joan Cusack Mike White,108
16125,a566,b705,school of rock,2003,Richard Linklater,Jack Black Mike White Joan Cusack Adam Pascal,108,the school of rock,2003,Richard Linklater,Jack Black Joan Cusack Mike White,108
16159,a128,b706,star trek,2009,J.J. Abrams,Chris Pine Zachary Quinto Simon Pegg Leonard Nimoy,127,star trek,2009,J.J. Abrams,Chris Pine Simon Pegg Zachary Quinto,127
16161,a2567,b707,frances ha,2012,Noah Baumbach,Greta Gerwig Mickey Sumner Adam Driver Michael Zegen,86,frances ha,2013,Noah Baumbach,Adam Driver Greta Gerwig Michael Zegen Mickey Sumner Patrick Heusinger,86
16176,a2445,b711,hunger,2008,Steve McQueen,Stuart Graham Laine Megaw Brian Milligan Liam McMahon,96,hunger,2008,Steve McQueen,,96
16399,a194,b716,harry potter and the prisoner of azkaban,2004,Alfonso Cuarón,Daniel Radcliffe Emma Watson Rupert Grint Richard Griffiths,142,harry potter and the prisoner of azkaban,2004,Alfonso Cuarón,Daniel Radcliffe Rupert Grint,141
16433,a1054,b720,michael clayton,2007,Tony Gilroy,George Clooney Tilda Swinton Tom Wilkinson Michael O'Keefe,119,michael clayton,2007,Tony Gilroy,George Clooney Tilda Swinton Tom Wilkinson,119
16446,a2939,b720,duplicity,2009,Tony Gilroy,Julia Roberts Clive Owen Tom Wilkinson Paul Giamatti,125,michael clayton,2007,Tony Gilroy,George Clooney Tilda Swinton Tom Wilkinson,119
16475,a1933,b722,coherence,2013,James Ward Byrkit,Emily Baldoni Maury Sterling Nicholas Brendon Elizabeth Gracen,89,the spectacular now,2013,James Ponsoldt,Andre Royo Bob Odenkirk Brie Larson Jennifer Jason Leigh Kyle Chandler Mary Elizabeth Winstead Miles Teller Shailene Woodley,95
16501,a1213,b722,the spectacular now,2013,James Ponsoldt,Miles Teller Shailene Woodley Kyle Chandler Jennifer Jason Leigh,95,the spectacular now,2013,James Ponsoldt,Andre Royo Bob Odenkirk Brie Larson Jennifer Jason Leigh Kyle Chandler Mary Elizabeth Winstead Miles Teller Shailene Woodley,95
16515,a1879,b722,the muppets,2011,James Bobin,Amy Adams Jason Segel Chris Cooper Rashida Jones,103,the spectacular now,2013,James Ponsoldt,Andre Royo Bob Odenkirk Brie Larson Jennifer Jason Leigh Kyle Chandler Mary Elizabeth Winstead Miles Teller Shailene Woodley,95
16548,a2075,b726,the celebration,1998,Thomas Vinterberg,Ulrich Thomsen Henning Moritzen Thomas Bo Larsen Paprika Steen,105,the celebration,1998,Thomas Vinterberg,Henning Moritzen Ulrich Thomsen,105
16696,a1168,b733,steve jobs,2015,Danny Boyle,Michael Fassbender Kate Winslet Seth Rogen Jeff Daniels,122,steve jobs,2015,Danny Boyle,Jeff Daniels Kate Winslet Michael Fassbender Seth Rogen,122
16735,a514,b735,public enemies,2009,Michael Mann,Christian Bale Johnny Depp Christian Stolte Jason Clarke,140,the white ribbon,2009,Michael Haneke,Christian Friedel Ernst Jacobi Leonie Benesch,144
16856,a1028,b738,three kings,1999,David O. Russell,George Clooney Mark Wahlberg Ice Cube Spike Jonze,114,three kings,1999,David O. Russell,George Clooney Mark Wahlberg,114
16999,a2954,b739,rachel getting married,2008,Jonathan Demme,Anne Hathaway Rosemarie DeWitt Debra Winger Sebastian Stan,113,rachel getting married,2008,Jonathan Demme,Anne Hathaway Rosemarie DeWitt,113
17037,a751,b744,chicago,2002,Rob Marshall,Renée Zellweger Catherine Zeta-Jones Richard Gere Taye Diggs,113,chicago,2002,Rob Marshall,Catherine Zeta Jones Renée Zellweger Richard Gere,113
17161,a2,b757,the dark knight,2008,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart Michael Caine,152,the dark knight,2008,Christopher Nolan,Aaron Eckhart Christian Bale Heath Ledger,152
17185,a1725,b758,memories of murder,2003,Joon-ho Bong,Kang-ho Song Sang-kyung Kim Roe-ha Kim Jae-ho Song,132,memories of murder,2005,Joon-ho Bong,,132
17197,a2163,b762,get shorty,1995,Barry Sonnenfeld,Gene Hackman Rene Russo Danny DeVito John Travolta,105,get shorty,1995,Barry Sonnenfeld,Danny DeVito Gene Hackman John Travolta Rene Russo,105
17338,a2562,b772,waking life,2001,Richard Linklater,Ethan Hawke Trevor Jack Brooks Lorelei Linklater Wiley Wiggins,99,waking life,2001,Richard Linklater,,99
17532,a2533,b785,a simple plan,1998,Sam Raimi,Bill Paxton Billy Bob Thornton Bridget Fonda Brent Briscoe,121,a simple plan,1998,Sam Raimi,Bill Paxton Billy Bob Thornton,121
17584,a669,b786,eastern promises,2007,David Cronenberg,Naomi Watts Viggo Mortensen Armin Mueller-Stahl Josef Altin,100,eastern promises,2007,David Cronenberg,Armin Mueller-Stahl Naomi Watts Viggo Mortensen,100
17586,a684,b786,a history of violence,2005,David Cronenberg,Viggo Mortensen Maria Bello Ed Harris William Hurt,96,eastern promises,2007,David Cronenberg,Armin Mueller-Stahl Naomi Watts Viggo Mortensen,100
17661,a438,b787,sicario,2015,Denis Villeneuve,Emily Blunt Josh Brolin Benicio Del Toro Jon Bernthal,121,sicario,2015,Denis Villeneuve,Benicio Del Toro Emily Blunt Jeffrey Donovan Jon Bernthal Josh Brolin Victor Garber,121
17801,a460,b791,blade runner 2049,2017,Denis Villeneuve,Harrison Ford Ryan Gosling Ana de Armas Dave Bautista,164,blade runner 2049,2017,Denis Villeneuve,Ana de Armas Barkhad Abdi Dave Bautista David Dastmalchian Edward James Olmos Elarica Gallacher Harrison Ford Jared Leto Lennie James Mackenzie Davis Mark Arnold Robin Wright Ryan Gosling Sylvia Hoeks Tómas Lemarquis Vilma Szécsi Wood Harris,164
17864,a1417,b794,tombstone,1993,George P. Cosmatos Kevin Jarre,Kurt Russell Val Kilmer Sam Elliott Bill Paxton,130,mandy,0,Panos Cosmatos,Andrea Riseborough Bill Duke Hayley Saywell Linus Roache Ned Dennehy Nicolas Cage Olwen Fouere Paul Painter Richard Brake,121
17912,a669,b797,eastern promises,2007,David Cronenberg,Naomi Watts Viggo Mortensen Armin Mueller-Stahl Josef Altin,100,a history of violence,2005,David Cronenberg,Ed Harris Maria Bello Viggo Mortensen,96
17914,a684,b797,a history of violence,2005,David Cronenberg,Viggo Mortensen Maria Bello Ed Harris William Hurt,96,a history of violence,2005,David Cronenberg,Ed Harris Maria Bello Viggo Mortensen,96
17961,a913,b797,secret window,2004,David Koepp,Johnny Depp Maria Bello John Turturro Timothy Hutton,96,a history of violence,2005,David Cronenberg,Ed Harris Maria Bello Viggo Mortensen,96
18030,a476,b798,the deer hunter,1978,Michael Cimino,Robert De Niro Christopher Walken John Cazale John Savage,183,the deer hunter,1978,Michael Cimino,Christopher Walken Robert De Niro,182
18109,a201,b805,arrival,2016,Denis Villeneuve,Amy Adams Jeremy Renner Forest Whitaker Michael Stuhlbarg,116,arrival,2016,Denis Villeneuve,Amy Adams Forest Whitaker Jeremy Renner Michael Stuhlbarg,116
18123,a1591,b806,epic movie,2007,Jason Friedberg Aaron Seltzer,Kal Penn Jennifer Coolidge Fred Willard Adam Campbell,86,juno,2007,Jason Reitman,Ellen Page Jennifer Garner Michael Cera,96
18126,a190,b806,juno,2007,Jason Reitman,Ellen Page Michael Cera Jennifer Garner Jason Bateman,96,juno,2007,Jason Reitman,Ellen Page Jennifer Garner Michael Cera,96
18139,a927,b808,blue valentine,2010,Derek Cianfrance,Ryan Gosling Michelle Williams John Doman Faith Wladyka,112,blue valentine,2010,Derek Cianfrance,John Doman Michelle Williams Ryan Gosling,120
18157,a793,b810,master and commander  the far side of the world,2003,Peter Weir,Russell Crowe Paul Bettany Billy Boyd James D'Arcy,138,master and commander  the far side of the world,2003,Peter Weir,James D'Arcy Paul Bettany Russell Crowe,138
18241,a1274,b811,four weddings and a funeral,1994,Mike Newell,Hugh Grant Andie MacDowell James Fleet Simon Callow,117,four weddings and a funeral,1994,Mike Newell,Andie MacDowell Hugh Grant,117
18287,a1364,b813,pixels,2015,Chris Columbus,Adam Sandler Kevin James Michelle Monaghan Peter Dinklage,105,top five,2014,Chris Rock,Chris Rock Gabrielle Union Kevin Hart Rosario Dawson,102
18367,a1586,b819,the nutty professor,1996,Tom Shadyac,Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller,95,living in oblivion,1995,Tom DiCillo,Catherine Keener Danielle von Zerneck Dermot Mulroney Hilary Gilford James LeGros Kevin Corrigan Peter Dinklage Rica Martens Robert Wightman Steve Buscemi,90
18414,a1091,b820,coco,2017,Lee Unkrich Adrian Molina,Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna Ubach,105,coco,2017,Adrian Molina Lee Unkrich,Alanna Ubach Alfonso Arau Anthony Gonzalez Benjamin Bratt Cheech Marin Edward James Olmos Gabriel Iglesias Gael García Bernal Herbert Siguenza Jaime Camil John Ratzenberger Lombardo Boyar Natalia Cordova-Buckley Renee Victor Selene Luna Sofía Espinosa,105
18424,a1911,b820,the founder,2016,John Lee Hancock,Michael Keaton Nick Offerman John Carroll Lynch Linda Cardellini,115,coco,2017,Adrian Molina Lee Unkrich,Alanna Ubach Alfonso Arau Anthony Gonzalez Benjamin Bratt Cheech Marin Edward James Olmos Gabriel Iglesias Gael García Bernal Herbert Siguenza Jaime Camil John Ratzenberger Lombardo Boyar Natalia Cordova-Buckley Renee Victor Selene Luna Sofía Espinosa,105
18469,a1376,b821,locke,2013,Steven Knight,Tom Hardy Olivia Colman Ruth Wilson Andrew Scott,85,locke,2014,Steven Knight,Tom Hardy,85
18542,a534,b822,bridge of spies,2015,Steven Spielberg,Tom Hanks Mark Rylance Alan Alda Amy Ryan,142,bridge of spies,2015,Steven Spielberg,Alan Alda Amy Ryan Mark Rylance Tom Hanks,141
18544,a1820,b823,driving miss daisy,1989,Bruce Beresford,Morgan Freeman Jessica Tandy Dan Aykroyd Patti LuPone,99,driving miss daisy,1989,Bruce Beresford,Dan Aykroyd Jessica Tandy Morgan Freeman,99
18657,a2331,b826,the station agent,2003,Tom McCarthy,Peter Dinklage Patricia Clarkson Bobby Cannavale Paul Benjamin,89,the station agent,2003,Thomas McCarthy,Bobby Cannavale Patricia Clarkson Peter Dinklage,89
18677,a1251,b827,foxcatcher,2014,Bennett Miller,Steve Carell Channing Tatum Mark Ruffalo Vanessa Redgrave,134,foxcatcher,2014,Bennett Miller,Anthony Michael Hall Channing Tatum Mark Ruffalo Sienna Miller Steve Carell Vanessa Redgrave,129
18790,a1863,b831,beginners,2010,Mike Mills,Ewan McGregor Christopher Plummer Mélanie Laurent Goran Visnjic,105,beginners,2011,Mike Mills,Christopher Plummer Ewan McGregor Mélanie Laurent,105
18857,a2622,b846,fish tank,2009,Andrea Arnold,Katie Jarvis Michael Fassbender Kierston Wareing Rebecca Griffiths,123,fish tank,2010,Andrea Arnold,Katie Jarvis Kierston Wareing,123
